t,x,th1,th2,xd,th1d,th2d,u,KE,PE,E_total
2.875,0.697830012667135,3.7893157336117316,0.46452875548522915,-0.3167003011997545,-0.6922988437314352,-0.8549578831086097,0.0,0.3811970786206942,-12.006015158652867,-11.624818080032172
2.88,0.6962020456491315,3.7857585736749533,0.4603334810025629,-0.3345081648951456,-0.7305632191171607,-0.8231977060708023,0.0,0.41695944556666475,-12.041777525652538,-11.624818080085873
2.8850000000000002,0.6944847106433267,3.7820101243954802,0.45629626926872785,-0.352448240731842,-0.768813797890988,-0.7917430322304563,0.0,0.4542566477195358,-12.079074727862961,-11.624818080143426
2.89,0.6926773356666617,3.7780704667261498,0.4524154386347774,-0.37052484778997,-0.8070457461133037,-0.7606555956661073,0.0,0.4930625613568367,-12.117880641561822,-11.624818080204985
2.895,0.6907792279102876,3.7739397064992852,0.44868899751544716,-0.38874199292493017,-0.8452539420090571,-0.7299976471781493,0.0,0.5333495536455715,-12.158167633916282,-11.62481808027071
2.9,0.6887896753672824,3.769617975925825,0.4451146416515894,-0.40710334395187825,-0.8834329517571105,-0.6998320155714036,0.0,0.5750884571561521,-12.199906537496894,-11.624818080340741
2.9050000000000002,0.6867079485971489,3.765105435218979,0.44168975107126773,-0.42561220174337305,-0.9215770038852278,-0.6702221667914096,0.0,0.6182485440066738,-12.243066624421902,-11.624818080415228
2.91,0.6845333026326029,3.7604022743494405,0.43841138676203845,-0.444271471210848,-0.9596799622508703,-0.6412322601884322,0.0,0.6627974997359889,-12.287615580230282,-11.624818080494293
2.915,0.6822649790342992,3.7555087149392574,0.4352762870706967,-0.4630836311446345,-0.9977352975948371,-0.6129272011342504,0.0,0.7087013970161635,-12.333519477594225,-11.624818080578061
2.92,0.6799022080992532,3.7504250123015153,0.43228086385076625,-0.48205070289239926,-1.0357360576628116,-0.5853726891659994,0.0,0.7559246693280706,-12.380742749994702,-11.624818080666632
2.9250000000000003,0.6774442112288055,3.7451514576329843,0.4294211983822707,-0.5011742178621865,-1.07367483589922,-0.5586352607786826,0.0,0.8044300847380121,-12.429248165498096,-11.624818080760084
2.93,0.6748902034620237,3.739688380366841,0.4266930370928531,-0.5204551838439354,-1.1115437387286868,-0.5327823259334802,0.0,0.8541787199285498,-12.478996800787034,-11.624818080858484
2.935,0.6722393961804463,3.7340361506924533,0.4240917871141126,-0.5398940501525125,-1.1493343514529824,-0.5078821972927858,0.0,0.9051299346530879,-12.529948015614941,-11.624818080961854
2.94,0.6694909999900315,3.728195182249062,0.421612511712118,-0.5594906716061314,-1.1870377028059322,-0.484004111135212,0.0,0.9572413468011973,-12.582059427871396,-11.624818081070199
2.945,0.6666442277860731,3.722165934999918,0.4192499256364373,-0.5792442713666913,-1.2246442282255194,-0.4612182388449299,0.0,1.0104688082803275,-12.635286889463806,-11.624818081183479
2.95,0.6636982980066772,3.715948918293112,0.41699839043770015,-0.5991534026832183,-1.2621437319215987,-0.43959568781009556,0.0,1.0647663819392168,-12.689584463240827,-11.62481808130161
2.955,0.660652438080147,3.709544694114869,0.41485190980968484,-0.6192159095964251,-1.2995253478395041,-0.419208490505335,0.0,1.1200863197792224,-12.744904401203684,-11.624818081424461
2.96,0.6575058880712852,3.702953880540533,0.41280412501819647,-0.6394288866815853,-1.3367774996446071,-0.40012958047404934,0.0,1.17637904272161,-12.80119712427345,-11.62481808155184
2.965,0.6542579045311863,3.6961771553877605,0.4108483104855681,-0.6597886379286095,-1.3738878598808069,-0.3824327538685733,0.0,1.2335931222217926,-12.858411203905284,-11.624818081683491
2.97,0.6509077645545325,3.689215260075613,0.4089773696064661,-0.6802906348825971,-1.4108433084872418,-0.36619261515108953,0.0,1.2916752640452511,-12.916493345864348,-11.624818081819097
2.975,0.6474547700477294,3.682069003692221,0.4071838308777967,-0.7009294741953361,-1.4476298908924043,-0.3514845055069918,0.0,1.3505702945445464,-12.97538837650279,-11.624818081958244
2.98,0.643898252210387,3.6747392672725034,0.40545984443286853,-0.7216988347683878,-1.4842327759434855,-0.3383844124766842,0.0,1.4102211498019805,-13.03503923190242,-11.62481808210044
2.985,0.6402375762316674,3.6672270082860385,0.40379717907753593,-0.7425914347015923,-1.5206362139713276,-0.32696885927343483,0.0,1.470568868028172,-13.095386950273259,-11.624818082245087
2.99,0.6364721462018648,3.6595332653335557,0.40218721993378637,-0.7635989882971334,-1.5568234953378757,-0.3173147722259855,0.0,1.531552585632678,-13.156370668024172,-11.624818082391494
2.995,0.6326014102382299,3.65165916304867,0.40062096680408954,-0.7847121634086982,-1.5927769098635043,-0.30949932476758935,0.0,1.593109537408548,-13.217927619947387,-11.62481808253884
3.0,0.6286248658225051,3.6436059171993485,0.39908903337773044,-0.8059205394676899,-1.6284777075859647,-0.3035997563907292,0.0,1.6551750612979994,-13.279993143984186,-11.624818082686186
3.005,0.6245420653458585,3.6353748399812047,0.3975816474082225,-0.8272125665637524,-1.6639060613607362,-0.29969316500203336,0.0,1.7176826082308825,-13.342500691063343,-11.62481808283246
3.0100000000000002,0.6203526218549051,3.6269673454920115,0.3960886519986421,-0.8485755260047931,-1.6990410318739313,-0.2978562711482374,0.0,1.78056375755067,-13.405381840527117,-11.624818082976446
